idno,essround,male,age,edu,eth_major,income_10,cntry,vote,country,p5,cyear,ccode,scode,year,flag,fragment,democ,autoc
15210364,2010,0,15,2,1,NA,GB,3,United Kingdom,0,2002010,200,UKG,2010,0,0,10,0
2414,2010,0,15,2,1,NA,PT,3,Portugal,0,2352010,235,POR,2010,0,0,10,0
98,2010,0,15,2,1,NA,SI,2,Slovenia,0,3492010,349,SLV,2010,0,0,10,0
2053,2010,0,15,2,1,NA,HR,2,Croatia,1,3442010,344,CRO,2010,0,0,9,0
21891800,2010,0,15,2,1,NA,DE,3,Germany,0,2552010,255,GMY,2010,0,0,10,0
181,2010,0,15,2,1,NA,UA,2,Ukraine,0,3692010,369,UKR,2010,0,0,6,0
1045,2010,0,15,2,1,NA,ES,3,Spain,0,2302010,230,SPN,2010,0,0,10,0
2244,2010,0,15,2,1,NA,ES,3,Spain,0,2302010,230,SPN,2010,0,0,10,0
22128,2010,0,15,2,1,NA,IE,3,Ireland,0,2052010,205,IRE,2010,0,0,10,0
20320584,2010,0,15,2,1,NA,GB,3,United Kingdom,0,2002010,200,UKG,2010,0,0,10,0
469,2010,0,15,2,1,NA,LT,2,Lithuania,0,3682010,368,LIT,2010,0,0,10,0
355,2010,0,15,2,1,NA,RU,3,Russian Federation,NA,NA,NA,NA,NA,NA,NA,NA,NA
306,2010,0,15,2,1,NA,ES,3,Spain,0,2302010,230,SPN,2010,0,0,10,0
21878800,2010,0,15,2,1,NA,DE,3,Germany,0,2552010,255,GMY,2010,0,0,10,0
1598,2010,0,15,2,1,NA,CZ,3,Czech Republic,1,3162010,316,CZR,2010,0,0,9,0
309571,2010,0,15,2,1,NA,DK,3,Denmark,0,3902010,390,DEN,2010,0,0,10,0
2892,2010,0,15,2,1,NA,IL,3,Israel,0,6662010,666,ISR,2010,0,3,7,1
311271,2010,0,15,2,1,NA,CY,2,Cyprus,1,3522010,352,CYP,2010,0,3,10,0
8216,2010,0,15,2,1,NA,GR,2,Greece,0,3502010,350,GRC,2010,0,0,10,0
23637,2010,0,15,2,1,NA,IE,3,Ireland,0,2052010,205,IRE,2010,0,0,10,0
129205,2010,0,15,2,1,NA,BE,3,Belgium,1,2112010,211,BEL,2010,0,0,8,0
746,2010,0,15,2,1,NA,IL,2,Israel,0,6662010,666,ISR,2010,0,3,7,1
447031,2010,0,15,2,1,NA,DE,2,Germany,0,2552010,255,GMY,2010,0,0,10,0
3936,2010,0,15,2,1,NA,FR,2,France,1,2202010,220,FRN,2010,0,0,10,0
1153,2010,0,15,2,1,NA,CZ,3,Czech Republic,1,3162010,316,CZR,2010,0,0,9,0
392166,2010,0,15,2,1,NA,DE,3,Germany,0,2552010,255,GMY,2010,0,0,10,0
